pair	gene name1	gene name2	Uniprot1	Uniprot2	PPI Score	ourID	Phys_BioGRID	Gen_BioGRID	string	ExpCont	PDB_complex	UniFun1	UniFun2	KEGG1	KEGG2	Uniloc1	Uniloc2	Phob1	Phob2	KEGGpath1	KEGGpath2	UniPubsInt	UniPubsU	Human	pdbmono1	pdbmono2	orf_name1	orf_name2	orf_name_a	orf_name_b
YDL166C_YJL191W	RPS14B	FAP7	P39516	Q12055	1.0	1408000at2759_1488235at2759	1	na	931	na	homolog	40S ribosomal protein S14-B (RP59B) (Small ribosomal subunit protein uS11-B)	Adenylate kinase isoenzyme 6 homolog FAP7 (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase) (POS9-activating factor 7)	YJL191W	YDL166C	Cytoplasm {ECO:0000269|PubMed:22096102}. Nucleus, nucleolus {ECO:0000269|PubMed:15590835}.	Cytoplasm. Nucleus.	-	-	genetic	metabolism,genetic	24374639, 14562095, 14562106	18	both	6xir_AE	na	YJL191W	YDL166C	YDL166C	YJL191W
YOR158W_YPL013C	PET123	MRPS16	P17558	Q02608	1.0	1401244at2759_1630052at2759	0	na	995	apms	ortholog	37S ribosomal protein PET123, mitochondrial (Mitochondrial small ribosomal subunit protein mS26)	37S ribosomal protein S16, mitochondrial (Mitochondrial small ribosomal subunit protein bS16m)	na	na	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:2167435}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	na	na	12392552, 28154081, 25609543, 14576278, 14562095, 24374639	14	2	5mrf_VV	5mrf_PP	YOR158W	YPL013C	YOR158W	YPL013C
YCR047C_YNR046W	BUD23	TRM112	P25627	P53738	1.0	1138059at2759_1465773at2759	1.633	na	997	na	ortholog	18S rRNA (guanine(1575)-N(7))-methyltransferase (EC 2.1.1.309) (Bud site selection protein 23)	Multifunctional methyltransferase subunit TRM112 (eRF1 methyltransferase subunit TRM112) (eRF1 MTase subunit TRM112) (tRNA methyltransferase 112)	YCR047C	YNR046W	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	24374639, 22493060, 14562095, 22956767, 14562106	18	both	4qtu_D	4qtu_C	YCR047C	YNR046W	YCR047C	YNR046W
YCL017C_YER048W-A	ISD11	NFS1	Q6Q560	P25374	1.0	1561410at2759_664730at2759	4.979	na	999	na	homolog	Protein ISD11 (Iron-sulfur protein biogenesis, desulfurase-interacting protein 11)	Cysteine desulfurase, mitochondrial (EC 2.8.1.7) (tRNA-splicing protein SPL1)	YER048W-A	YCL017C	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16341090, ECO:0000269|PubMed:16823961}.	Mitochondrion {ECO:0000269|PubMed:10406803, ECO:0000269|PubMed:10551871}.	-	-	genetic	metabolism,cellular,genetic	24374639, 14562106	16	both	na	na	YER048W-A	YCL017C	YCL017C	YER048W-A
YDR123C_YOL108C	INO2	INO4	P26798	P13902	1.0	1554430at2759_1640322at2759	5.126	2	981	gold	na	Protein INO2	Protein INO4	YDR123C	YOL108C	Nucleus {ECO:0000305}.	Nucleus {ECO:0000305}.	-	-	genetic	genetic	17322287, 24374639, 14562106	11	na	na	na	YDR123C	YOL108C	YDR123C	YOL108C
YDL006W_YDR162C	PTC1	NBP2	P35182	Q12163	1.0	1044139at2759_1534694at2759	0.612	0.067	984	y2h	na	Protein phosphatase 2C homolog 1 (PP2C-1) (EC 3.1.3.16)	NAP1-binding protein 2	YDL006W	na	na	Cytoplasm {ECO:0000269|PubMed:14573466}.	-	-	metabolism	na	14685261, 9169867, 24374639, 14562106	13	1	na	2lcs_A	YDL006W	YDR162C	YDL006W	YDR162C
YDL160C-A_YOL086W-A	MHF1	MHF2	Q3E835	Q3E829	1.0	1483465at2759_1650334at2759	0.628	na	987	na	ortholog	Inner kinetochore subunit MHF1 (CENP-S homolog) (Constitutive centromere-associated network protein MHF1) (MHF histone-fold complex subunit 1) (MPH1-associated histone-fold protein 1)	Inner kinetochore subunit MHF2 (CENP-X homolog) (Constitutive centromere-associated network protein MHF2) (MHF histone-fold complex subunit 2) (MPH1-associated histone-fold protein 2)	YOL086W-A	na	na	na	-	-	genetic	na	22325783, 22561346, 20347428, 24374639	8	1	3v9r_C	3v9r_D	YOL086W-A	YDL160C-A	YDL160C-A	YOL086W-A
YER029C_YGR074W	SMD1	SMB1	Q02260	P40018	1.0	1579192at2759_1630470at2759	0.033	0.04	999	apms	ortholog	Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (snRNP core protein D1)	Small nuclear ribonucleoprotein-associated protein B (snRNP-B) (Sm protein B) (Sm-B) (SmB)	YGR074W	YER029C	Nucleus.	Nucleus.	-	-	genetic	genetic	17322287, 10449419, 14562106, 11884590, 9528767, 14690591, 11027265, 11804584, 10369684, 11302706, 24374639	19	both	7dco_m	7dco_h	YGR074W	YER029C	YER029C	YGR074W
YDR388W_YGL090W	RVS167	LIF1	P39743	P53150	1.0	1090526at2759_1496193at2759	0.001	na	na	y2h	na	Reduced viability upon starvation protein 167	Ligase-interacting factor 1	YDR388W	YGL090W	Cytoplasm, cytoskeleton.	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.	-	-	genetic,cellular	genetic	24374639, 14562106	23	1	na	1z56_B	YDR388W	YGL090W	YDR388W	YGL090W
YDL002C_YPL235W	NHP10	RVB2	Q03435	Q12464	1.0	1333990at2759_752343at2759	0.017	na	990	apms	na	Non-histone protein 10 (High mobility group protein 2)	RuvB-like protein 2 (RUVBL2) (EC 3.6.4.12) (TIP49-homology protein 2) (TIP49b homolog)	YDL002C	YPL235W	Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:14562095}.	Nucleus, nucleoplasm {ECO:0000269|PubMed:10787406, ECO:0000269|PubMed:11604509}.	-	-	genetic	genetic	24374639, 14562106	19	2	na	6gen_Y	YDL002C	YPL235W	YDL002C	YPL235W
YNL025C_YPL042C	SSN8	SSN3	P47821	P39073	0.9995	1079428at2759_642369at2759	3.372	0.001	999	gold	ortholog	RNA polymerase II holoenzyme cyclin-like subunit (Suppressor of RNA polymerase B 11)	Meiotic mRNA stability protein kinase SSN3 (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 8) (Suppressor of RNA polymerase B SRB10)	YNL025C	YPL042C	Nucleus {ECO:0000269|PubMed:16630888}.	Nucleus {ECO:0000305}.	-	-	genetic	metabolism,genetic	12520306, 16076843, 16630888, 15477388, 12200444, 7877695, 9702190, 11226276, 16109375, 11555651, 15601835, 24374639, 15687503	25	both	7kpx_B	7kpx_A	YNL025C	YPL042C	YNL025C	YPL042C
YLR417W_YPL002C	SNF8	VPS36	Q12483	Q06696	0.9995	869548at2759_981902at2759	1.376	na	999	gold	ortholog	Vacuolar-sorting protein SNF8 (ESCRT-II complex subunit VPS22) (Vacuolar protein-sorting-associated protein 22)	Vacuolar protein-sorting-associated protein 36 (ESCRT-II complex subunit VPS36)	YPL002C	YLR417W	Cytoplasm {ECO:0000269|PubMed:12194858}. Endosome membrane {ECO:0000269|PubMed:12194858}; Peripheral membrane protein {ECO:0000269|PubMed:12194858}.	Cytoplasm {ECO:0000269|PubMed:12194858}. Endosome membrane {ECO:0000269|PubMed:12194858}; Peripheral membrane protein {ECO:0000269|PubMed:12194858}.	-	-	genetic,cellular	cellular,genetic	15329733, 12194858, 15469844, 24374639, 14562106	10	both	1w7p_A	1w7p_D	YPL002C	YLR417W	YLR417W	YPL002C
YHL001W_YOR312C	RPL20B	RPL14B	P0CX24	P38754	0.9995	1265349at2759_1433759at2759	na	na	999	apms	ortholog	60S ribosomal protein L20-B (L18a) (Large ribosomal subunit protein eL20-B)	60S ribosomal protein L14-B (Large ribosomal subunit protein eL14-B)	YOR312C	YHL001W	Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.	Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.	-	-	genetic	genetic	22096102, 9559554, 24524803, 24374639, 14562095	14	both	7btb_S	7btb_M	YOR312C	YHL001W	YHL001W	YOR312C
YDL111C_YHR069C	RRP4	RRP42	P38792	Q12277	0.9995	1121868at2759_965225at2759	0.381	0	999	apms	ortholog	Exosome complex component RRP4 (Ribosomal RNA-processing protein 4)	Exosome complex component RRP42 (Ribosomal RNA-processing protein 42)	YHR069C	YDL111C	Cytoplasm. Nucleus, nucleolus.	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	17174896, 14562106, 10465791, 17173052, 9390555, 14562095, 24374639	16	both	6fsz_HH	7aju_EF	YHR069C	YDL111C	YDL111C	YHR069C
YER082C_YLL011W	SOF1	UTP7	P33750	P40055	0.9995	418107at2759_430457at2759	0	0	999	apms	ortholog	Protein SOF1 (U3 small nucleolar RNA-associated protein SOF1) (U3 snoRNA-associated protein SOF1)	U3 small nucleolar RNA-associated protein 7 (U3 snoRNA-associated protein 7) (U three protein 7)	YLL011W	YER082C	Nucleus, nucleolus {ECO:0000269|PubMed:8508778}.	Nucleus, nucleolus {ECO:0000269|PubMed:12068309}.	-	-	genetic	genetic	12068309, 24374639, 14562106	8	both	7aju_JP	7aju_UG	YLL011W	YER082C	YER082C	YLL011W
YAR008W_YMR059W	SEN15	SEN34	Q04675	P39707	0.9995	1522443at2759_1621103at2759	0.25	na	999	na	na	tRNA-splicing endonuclease subunit SEN15 (Splicing endonuclease of 15 kDa) (tRNA-intron endonuclease SEN15)	tRNA-splicing endonuclease subunit SEN34 (EC 4.6.1.16) (Splicing endonuclease of 34 kDa) (tRNA-intron endonuclease SEN34)	YMR059W	YAR008W	Nucleus {ECO:0000269|PubMed:12925762}. Endomembrane system {ECO:0000269|PubMed:12925762}; Peripheral membrane protein {ECO:0000269|PubMed:12925762}. Mitochondrion outer membrane {ECO:0000269|PubMed:12925762}; Peripheral membrane protein {ECO:0000269|PubMed:12925762}; Cytoplasmic side {ECO:0000269|PubMed:12925762}. Note=The tRNA splicing endonuclease complex is predominantly associated with the outer membrane of mitochondria, suggesting that tRNA splicing mainly takes place on the mitochondrial surface.	Nucleus {ECO:0000269|PubMed:12925762}. Endomembrane system {ECO:0000269|PubMed:12925762}; Peripheral membrane protein {ECO:0000269|PubMed:12925762}. Mitochondrion outer membrane {ECO:0000269|PubMed:12925762, ECO:0000269|PubMed:16823961}; Peripheral membrane protein {ECO:0000269|PubMed:12925762, ECO:0000269|PubMed:16823961}; Cytoplasmic side {ECO:0000269|PubMed:12925762, ECO:0000269|PubMed:16823961}. Note=The tRNA splicing endonuclease complex is predominantly associated with the outer membrane of mitochondria, suggesting that tRNA splicing mainly takes place on the mitochondrial surface.	-	-	genetic	genetic	9200603, 12925762, 24374639	7	both	na	na	YMR059W	YAR008W	YAR008W	YMR059W
YBR122C_YNL252C	MRPL17	MRPL36	P36528	P36531	0.9995	1402758at2759_1504371at2759	0.072	na	881	apms	ortholog	54S ribosomal protein L17, mitochondrial (Mitochondrial large ribosomal subunit protein mL46) (YmL17/YmL30)	54S ribosomal protein L36, mitochondrial (Mitochondrial large ribosomal subunit protein bL31m) (YmL36)	YNL252C	na	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Extracellular	-	genetic	na	24675956, 12392552, 2060626, 25609543, 14576278, 14562095, 24374639	17	1	5mrf_6	5mrf_V	YNL252C	YBR122C	YBR122C	YNL252C
YGR063C_YML010W	SPT4	SPT5	P32914	P27692	0.9995	1617752at2759_828863at2759	5.433	0.833	999	lit	ortholog	Transcription elongation factor SPT4 (Chromatin elongation factor SPT4)	Transcription elongation factor SPT5 (Chromatin elongation factor SPT5)	YGR063C	YML010W	Nucleus {ECO:0000269|PubMed:15057281}. Chromosome, centromere {ECO:0000269|PubMed:15057281}. Note=Centromere and heterochromatin.	Nucleus {ECO:0000269|PubMed:14576278}. Mitochondrion {ECO:0000269|PubMed:14576278}.	-	-	genetic	genetic	16172632, 12556496, 14562106, 20713510, 9450930, 15780939, 12554661, 24374639	21	both	7nky_Y	7nky_Z	YGR063C	YML010W	YGR063C	YML010W
YJR102C_YLR417W	VPS25	VPS36	P47142	Q06696	0.9995	1094121at2759_981902at2759	0.284	na	999	gold	ortholog	Vacuolar protein-sorting-associated protein 25 (ESCRT-II complex subunit VPS25)	Vacuolar protein-sorting-associated protein 36 (ESCRT-II complex subunit VPS36)	YJR102C	YLR417W	Cytoplasm {ECO:0000269|PubMed:12194858}. Endosome membrane {ECO:0000269|PubMed:12194858}; Peripheral membrane protein {ECO:0000269|PubMed:12194858}.	Cytoplasm {ECO:0000269|PubMed:12194858}. Endosome membrane {ECO:0000269|PubMed:12194858}; Peripheral membrane protein {ECO:0000269|PubMed:12194858}.	-	-	genetic,cellular	cellular,genetic	15329733, 12194858, 24374639, 15469844	9	both	1xb4_D	1w7p_D	YJR102C	YLR417W	YJR102C	YLR417W
YGR255C_YOL096C	COQ3	COQ6	P27680	P53318	0.9995	1542938at2759_655400at2759	0.523	na	999	na	na	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase) (DHHB methyltransferase) (DHHB-MT) (DHHB-MTase) (3-demethylubiquinol 3-O-methyltransferase) (EC 2.1.1.64) (3-demethylubiquinone-6 3-O-methyltransferase) (Hexaprenyldihydroxybenzoate methyltransferase) (Polyprenyldihydroxybenzoate methyltransferase) (EC 2.1.1.114)	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-) (Ubiquinone C4-deaminase) (EC 3.5.-.-)	YOL096C	YGR255C	Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03190, ECO:0000269|PubMed:10419476, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03190, ECO:0000269|PubMed:10419476}; Matrix side {ECO:0000255|HAMAP-Rule:MF_03190, ECO:0000269|PubMed:10419476}.	Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03193, ECO:0000269|PubMed:12721307, ECO:0000269|PubMed:14576278}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03193, ECO:0000269|PubMed:12721307}; Matrix side {ECO:0000255|HAMAP-Rule:MF_03193, ECO:0000269|PubMed:12721307}.	-	-	metabolism	metabolism	24406904, 14576278, 24374639, 14562106	18	both	na	na	YOL096C	YGR255C	YGR255C	YOL096C
YJR088C_YKL207W	EMC3	EMC2	P36039	P47133	0.9995	1482782at2759_956854at2759	0	na	999	na	ortholog	ER membrane protein complex subunit 3 (Altered inheritance rate of mitochondria protein 27)	ER membrane protein complex subunit 2	YKL207W	YJR088C	Endoplasmic reticulum membrane {ECO:0000305|PubMed:29809151}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9P0I2}.	Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q15006}; Cytoplasmic side {ECO:0000250|UniProtKB:Q15006}.	Transmembrane	-	genetic	genetic	19325107, 24374639, 29809151	13	both	7ktx_C	7ktx_B	YKL207W	YJR088C	YJR088C	YKL207W
YFL022C_YLR060W	FRS1	FRS2	P15624	P15625	0.9995	378921at2759_733355at2759	0.001	0	999	gold	homolog	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	YLR060W	YFL022C	Cytoplasm.	Cytoplasm.	-	-	genetic,metabolism	metabolism,genetic	3049607, 24374639	10	both	na	na	YLR060W	YFL022C	YFL022C	YLR060W
YDL105W_YDR288W	NSE3	NSE4	Q05541	P43124	0.9995	1420740at2759_935469at2759	0.607	0.143	999	lit	na	Non-structural maintenance of chromosome element 3 (Non-SMC element 3)	Non-structural maintenance of chromosome element 4 (Non-SMC element 4) (Protein QRI2)	YDR288W	YDL105W	Nucleus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14690591}. Cytoplasm {ECO:0000269|PubMed:14562095}.	Nucleus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15752197}.	-	-	genetic	genetic	14690591, 15738391, 9169867, 14562095, 15752197, 24374639	13	2	na	na	YDR288W	YDL105W	YDL105W	YDR288W
YBR257W_YIR015W	POP4	RPR2	P38336	P40571	0.9995	1362700at2759_1560813at2759	0.337	na	999	lit	ortholog	RNases MRP/P 32.9 kDa subunit (RNA-processing protein POP4)	Ribonuclease P protein subunit RPR2 (EC 3.1.26.5) (RNA-processing protein RPR2) (RNase P 16.4 kDa subunit)	YBR257W	YIR015W	Nucleus {ECO:0000305}.	Nucleus {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	9620854, 24374639	12	both	7c7a_D	6ah3_K	YBR257W	YIR015W	YBR257W	YIR015W
YMR240C_YOR319W	CUS1	HSH49	Q02554	Q99181	0.9995	1275099at2759_1479417at2759	2.554	0	999	gold	ortholog	Cold sensitive U2 snRNA suppressor 1	Protein HSH49	YMR240C	YOR319W	Nucleus {ECO:0000305}.	Nucleus {ECO:0000305}.	-	-	genetic	genetic	17322287, 14517302, 24374639, 14562106	10	both	5zwo_2	7dco_4	YMR240C	YOR319W	YMR240C	YOR319W
YDR176W_YDR448W	NGG1	ADA2	P32494	Q02336	0.9995	1026409at2759_812864at2759	4.034	na	999	lit	na	Chromatin-remodeling complexes subunit NGG1 (Transcriptional adapter 3)	Transcriptional adapter 2	YDR176W	YDR448W	Nucleus {ECO:0000305}.	Nucleus.	-	-	genetic	genetic	10026213, 9885573, 14562106, 12186975, 9674426, 10490601, 9154821, 9169867, 15260971, 15647753, 12446794, 24374639	20	both	na	6cw2_C	YDR176W	YDR448W	YDR176W	YDR448W
YGR262C_YML036W	CGI121	BUD32	Q03705	P53323	0.9995	1360669at2759_1425238at2759	0.822	na	999	apms	ortholog	EKC/KEOPS complex subunit CGI121 (CGI-121 homolog)	EKC/KEOPS complex subunit BUD32 (EC 3.6.-.-) (Atypical serine/threonine protein kinase BUD32) (EC 2.7.11.1) (Bud site selection protein 32) (Low-dye-binding protein 14) (piD261)	YML036W	YGR262C	Nucleus {ECO:0000305}. Chromosome, telomere {ECO:0000305}.	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}. Chromosome, telomere {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic,metabolism	17322287, 23620299, 21183954, 16564010, 21459853, 23258706, 16874308, 24374639	17	both	4xah_B	4wwa_A	YML036W	YGR262C	YGR262C	YML036W
YGR158C_YNL232W	MTR3	CSL4	P48240	P53859	0.9995	1101132at2759_1200489at2759	0.252	na	999	apms	ortholog	Exosome complex component MTR3 (mRNA transport regulator 3)	Exosome complex component CSL4 (CEP1 synthetic lethal protein 4)	YGR158C	YNL232W	Cytoplasm. Nucleus, nucleolus.	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	17174896, 14562106, 10465791, 17173052, 14562095, 24374639	15	both	7aju_EG	6fsz_II	YGR158C	YNL232W	YGR158C	YNL232W
YNL287W_YPL010W	RET3	SEC21	P53600	P32074	0.9995	1522668at2759_255234at2759	1	na	999	apms	homolog	Coatomer subunit zeta (Zeta-coat protein) (Zeta-COP)	Coatomer subunit gamma (Gamma-coat protein) (Gamma-COP)	YPL010W	YNL287W	Cytoplasm {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasmic vesicle, COPI-coated vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it. {ECO:0000250}.	Cytoplasm. Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle, COPI-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Endosome. Note=The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it. {ECO:0000250}.	-	-	genetic	genetic,cellular	24374639	16	both	na	na	YPL010W	YNL287W	YNL287W	YPL010W
YIL027C_YLL014W	EMC6	EMC5	Q12431	P40540	0.9995	1547548at2759_1558871at2759	0.143	na	994	na	ortholog	ER membrane protein complex subunit 6	ER membrane protein complex subunit 5 (Killer toxin-resistance protein 27)	YLL014W	YIL027C	Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9BV81}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9BV81}.	Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.	Transmembrane	Transmembrane	genetic	genetic	17322287, 19325107, 24374639, 14562095, 29809151	11	both	6wb9_6	6wb9_5	YLL014W	YIL027C	YIL027C	YLL014W
YGL112C_YMR236W	TAF9	TAF6	Q05027	P53040	0.9995	1429345at2759_384329at2759	0.541	0.31	999	lit	ortholog	Transcription initiation factor TFIID subunit 9 (TAFII-17) (TAFII20) (TBP-associated factor 17 kDa) (TBP-associated factor 9)	Transcription initiation factor TFIID subunit 6 (TBP-associated factor 6) (TBP-associated factor 60 kDa) (TAFII-60) (TAFII60)	YMR236W	YGL112C	Nucleus {ECO:0000269|PubMed:14562095}.	Nucleus.	-	-	genetic	genetic	12516863, 10026213, 12093743, 10788514, 14562106, 12446794, 11473260, 9695952, 12138208, 15260971, 11238921, 12052880, 9674426, 11295558, 15647753, 24374639	25	both	6t9k_F	6t9k_E	YMR236W	YGL112C	YGL112C	YMR236W
YJL006C_YML112W	CTK3	CTK2	P46963	P46962	0.9995	1422366at2759_958680at2759	2.001	0.091	998	gold	ortholog	CTD kinase subunit gamma (CTDK-I gamma subunit) (CTD kinase 32 kDa subunit) (CTD kinase subunit 3)	CTD kinase subunit beta (CTDK-I subunit beta) (CTD kinase 38 kDa subunit) (CTD kinase subunit 2)	YML112W	YJL006C	Nucleus, nucleolus. Cytoplasm.	Nucleus, nucleolus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15520468}.	-	-	genetic	genetic	12629047, 9110987, 14562106, 7565723, 16182287, 12684377, 11118453, 15047695, 16984969, 14562095, 24374639, 15520468	19	2	7jv7_C	7jv7_B	YML112W	YJL006C	YJL006C	YML112W
YGR002C_YNL107W	YAF9	SWC4	P53930	P53201	0.9995	1482359at2759_918816at2759	1.11	0	999	gold	na	Protein AF-9 homolog	SWR1-complex protein 4 (ESA1-associated factor 2)	YNL107W	YGR002C	Cytoplasm. Nucleus.	Nucleus {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	17322287, 15353583, 14690608, 14562106, 14690591, 15302830, 14645854, 15485911, 14562095, 15045029, 24374639	16	both	3rls_B	na	YNL107W	YGR002C	YGR002C	YNL107W
YDR116C_YKL167C	MRPL1	MRP49	Q04599	P32388	0.9995	1432931at2759_1438394at2759	na	0	263	apms	homolog	54S ribosomal protein L1, mitochondrial (Mitochondrial large ribosomal subunit protein uL1m)	54S ribosomal protein MRP49, mitochondrial (Mitochondrial large ribosomal subunit protein mL61)	YDR116C	YKL167C	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	genetic	genetic	17322287, 24675956, 25609543, 14576278, 14562095, 24374639	12	both	na	na	YDR116C	YKL167C	YDR116C	YKL167C
YDL030W_YJL203W	PRP21	PRP9	P32524	P19736	0.9995	1256232at2759_383503at2759	1.983	1.5	999	gold	ortholog	Pre-mRNA-splicing factor PRP21	Pre-mRNA-splicing factor PRP9	YJL203W	YDL030W	Nucleus.	Nucleus.	-	-	genetic	genetic	11884590, 24374639, 14562106	12	both	7dco_w	7dco_u	YJL203W	YDL030W	YDL030W	YJL203W
YGR095C_YOL142W	RRP46	RRP40	P53256	Q08285	0.9995	1129417at2759_1284731at2759	0.336	na	999	lit	ortholog	Exosome complex component RRP46 (Ribosomal RNA-processing protein 46)	Exosome complex component RRP40 (Ribosomal RNA-processing protein 40)	YGR095C	YOL142W	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	17174896, 14562106, 10465791, 17173052, 14562095, 24374639	13	both	5okz_h	7aju_EH	YGR095C	YOL142W	YGR095C	YOL142W
YIL062C_YKL013C	ARC19	ARC15	P33204	P40518	0.9995	1351067at2759_1565115at2759	0.052	na	999	y2h	homolog	Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa) (p20-ARC)	Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC)	YKL013C	YIL062C	Cytoplasm, cytoskeleton, actin patch.	Cytoplasm, cytoskeleton, actin patch {ECO:0000269|PubMed:11248049}.	-	-	cellular,genetic	cellular,genetic	17322287, 9210376, 24374639, 14562106	10	2	na	na	YKL013C	YIL062C	YIL062C	YKL013C
